醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
5901190177,0,70,2020/02/10 18:00:38
5901190220,0,16,2020/02/10 18:00:38
5901190284,1,38,2020/02/10 18:00:38
5901190408,0,18,2020/02/10 18:00:38
5901190426,0,74,2020/02/10 18:00:38
5901190444,0,14,2020/02/10 18:00:38
5901190515,26,92,2020/02/10 18:00:38
5901190668,2,52,2020/02/10 18:00:38
5901190686,0,58,2020/02/10 18:00:38
5901190695,0,48,2020/02/10 18:00:38
5901192064,0,44,2020/02/10 18:00:38
5901192126,0,146,2020/02/10 18:00:38
5901192144,8,42,2020/02/10 18:00:38
5901192153,0,54,2020/02/10 18:00:38
5901192162,0,12,2020/02/10 18:00:38
5901192180,68,51,2020/02/10 18:00:38
5901192448,0,26,2020/02/10 18:00:38
5901192546,4,74,2020/02/10 18:00:38
5901192653,0,96,2020/02/10 18:00:38
5901192751,0,56,2020/02/10 18:00:38
5901192822,0,20,2020/02/10 18:00:38
5901192831,0,64,2020/02/10 18:00:38
5901192877,0,42,2020/02/10 18:00:38
5901192975,0,54,2020/02/10 18:00:38
5901192993,0,36,2020/02/10 18:00:38
5901193025,0,38,2020/02/10 18:00:38
5901193070,1,80,2020/02/10 18:00:38
5901193105,12,76,2020/02/10 18:00:38
5901193123,10,50,2020/02/10 18:00:38
5901193132,0,2,2020/02/10 18:00:38
5901193150,0,22,2020/02/10 18:00:38
5901193169,0,22,2020/02/10 18:00:38
5901193178,7,56,2020/02/10 18:00:38
5901193196,0,40,2020/02/10 18:00:38
5901193230,1,38,2020/02/10 18:00:38
5901193249,4,96,2020/02/10 18:00:38
5901200070,0,18,2020/02/10 18:00:38
5901200105,0,4,2020/02/10 18:00:38
5901200114,14,18,2020/02/10 18:00:38
5901200123,0,60,2020/02/10 18:00:38
